swnval,pos,neg,neut,yval
1.225,6,1,13,2
1.04166666667,3,4,11,2
1.125,2,2,9,2
1.25,2,1,12,2
1.0,2,1,17,2
1.125,1,2,4,2
1.125,1,0,3,2
0.6875,1,3,7,2
1,0,0,5,2
1.58333333333,4,0,3,2
0.7582,1,4,7,2
1.5,1,1,9,2
0.25,0,1,15,2
1.28409090909,10,3,14,2
0.78125,1,6,16,2
1.225,4,1,7,2
1.41666666667,2,1,9,2
1.125,5,2,6,2
1.375,5,1,16,2
1.5,5,0,14,2
1.16666666667,2,1,5,2
1.25,1,1,11,2
1.29166666667,5,0,7,2
0.416666666667,0,3,22,2
1.375,3,0,19,2
0.9375,2,1,3,2
1.5,5,1,13,2
1.05,3,1,17,2
0.9375,2,1,8,2
1.625,2,0,6,2
1,0,0,15,2
0.958333333333,1,3,4,2
1.25,4,3,13,2
1.4375,3,0,7,2
1.0,3,1,16,2
1.0,2,2,13,2
1.03125,3,2,17,2
0.96875,3,1,8,2
1,1,0,5,2
1.125,3,2,7,2
0.875,2,2,17,2
1.15,5,2,18,2
1.125,3,1,11,2
1.125,2,0,10,2
1.625,2,0,8,2
1,0,0,1,2
0.75,3,3,7,2
0.625,0,1,2,2
1.275,6,0,6,2
1.27083333333,4,3,13,2
0.90625,2,2,7,2
1.0625,1,1,13,2
1.375,4,0,6,2
1.54166666667,3,1,9,2
1.140625,5,3,16,2
0.71875,2,2,12,2
0.9375,1,2,2,2
1.125,1,1,1,2
1.2,3,2,20,2
0.78125,3,5,14,2
1.1875,1,1,6,2
1.0625,2,3,6,2
0.9375,2,5,15,2
0.9375,5,5,11,2
0.9375,1,2,8,2
1.25,2,0,9,2
1.0,2,1,8,2
0.875,1,1,25,2
1.29166666667,3,0,7,2
1.375,5,0,13,2
1.0,3,2,6,2
0.895833333333,4,5,8,2
1.5,2,0,2,2
1.203125,7,2,11,2
1.0,1,1,10,2
1.08333333333,2,1,13,2
1.20833333333,2,1,6,2
1.22916666667,5,2,10,2
1.25,1,0,1,2
0.90625,3,5,13,2
0.5,1,2,5,2
1.15625,3,1,16,2
0.875,0,1,4,2
1.5,1,0,10,2
1.225,5,2,18,2
1.29166666667,5,3,9,2
0.975,5,2,8,2
1.078125,5,1,10,2
1.04166666667,2,1,10,2
0.875,0,1,11,2
1.1875,2,0,8,2
1.5625,2,1,1,2
1.075,9,1,16,2
0.916666666667,3,1,11,2
1,0,0,12,2
1.34375,3,1,12,2
1.5,2,0,16,2
1.16666666667,2,1,9,2
1.025,2,1,6,2
1.625,2,0,5,2
1.27083333333,5,1,13,2
1.375,2,0,4,2
0.958333333333,2,2,15,2
1.21875,3,1,11,2
1.15625,3,1,7,2
1.25,2,1,8,2
1.25,3,0,6,2
1.21875,4,1,8,2
0.875,2,1,7,2
1.20833333333,4,0,5,2
1.5625,2,0,7,2
1.5,4,0,12,2
1.25,2,0,11,2
1.40625,4,0,5,2
1.125,1,1,3,2
1.3125,2,0,5,2
0.875,3,4,25,2
0.75,1,1,18,2
1.25,2,0,1,2
0.875,4,3,13,2
1.25,5,1,6,2
1.29166666667,3,0,2,2
1.53125,3,2,15,2
0.9375,2,2,7,2
1.25,2,2,7,2
0.890625,4,5,17,2
1.375,1,0,4,2
1.5,1,0,5,2
0.75,1,1,3,2
1.3125,2,1,22,2
0.75,1,1,8,2
1.4375,2,0,15,2
0.9375,2,1,7,2
1.375,2,0,6,2
0.583333333333,1,2,4,2
0.8125,1,2,4,2
1.5,2,0,1,2
1.125,2,2,7,2
0.75,0,1,9,2
0.96875,3,2,13,2
1.375,1,0,5,2
0.875,0,1,5,2
1.234375,7,2,14,2
1.125,3,0,6,2
1.5,2,0,6,2
0.75,1,1,10,2
0.916666666667,1,1,11,2
1.1,3,1,11,2
1.21875,3,2,6,2
1.15625,3,2,11,2
1.03125,2,3,2,2
0.8,1,4,7,2
1.02083333333,6,3,15,2
1.34375,7,1,15,2
0.6,1,5,10,2
0.875,1,1,5,2
0.875,2,3,5,2
1.21875,3,2,15,2
0.8125,2,3,6,2
1.16666666667,3,1,11,2
0.875,0,1,6,2
1.09375,4,1,11,2
0.875,1,3,12,2
0.729166666667,3,4,15,2
1.15625,5,1,7,2
0.854166666667,3,3,11,2
1.0,2,2,4,2
1.06944444444,9,4,12,2
0.825,1,4,18,2
1.3125,4,0,9,2
1,1,0,5,2
1.125,1,1,6,2
0.975,4,2,5,2
1.40625,8,0,10,2
1,1,0,8,2
1.26785714286,5,1,10,2
1.1875,1,1,7,2
1.125,4,3,7,2
1.4375,2,0,0,2
1.03125,2,2,18,2
1,0,0,3,2
0.910714285714,3,5,11,2
1.25,6,2,5,2
0.875,2,2,7,2
1.625,3,0,16,2
1,0,0,6,2
1.125,1,1,10,2
1.09375,4,2,11,2
0.9375,3,1,7,2
1.125,1,0,7,2
1.140625,8,2,14,2
1.375,2,0,8,2
1.25,5,1,15,2
0.90625,2,2,2,2
1,2,0,7,2
1.0,1,1,10,2
1.0625,2,0,11,2
1.20833333333,2,2,24,2
1,0,0,11,2
0.925,4,3,15,2
0.125,1,2,3,2
1.25,2,0,5,2
1.09375,2,2,7,2
1,0,1,5,2
0.875,0,1,11,2
1,0,0,3,2
1.25,3,0,6,2
0.75,1,1,10,2
1.15625,3,1,2,2
0.875,3,4,11,2
1.125,4,3,6,2
1.33333333333,4,0,15,2
1.0,2,1,13,2
1.08333333333,1,2,7,2
1.16666666667,2,1,12,2
0.96875,4,3,12,2
1.25,2,0,7,2
1.0,1,3,4,2
1.5,2,1,2,2
1.5,2,0,11,2
1.25,2,1,10,2
1,0,0,6,2
1,0,1,6,2
1,0,0,4,2
1.0,4,3,5,2
0.6875,2,1,9,2
1.41666666667,3,0,14,2
0.875,3,4,14,2
1.22916666667,7,1,10,2
1.125,1,0,1,2
1.08333333333,2,1,9,2
1.025,9,3,9,2
0.78125,1,4,15,2
0.84375,2,3,12,2
1,1,1,11,2
1.28125,4,1,7,2
1.125,2,1,5,2
1.5,1,0,6,2
1.16666666667,4,0,2,2
1.375,6,1,17,2
1.0,1,1,9,2
0.65625,1,3,1,2
1.25,2,0,3,2
1.0,3,3,12,2
1.5,2,0,8,2
1.05,3,2,8,2
1.21875,5,0,8,2
1.20833333333,3,0,11,2
0.791666666667,2,2,8,2
1.29166666667,2,1,5,2
1.29166666667,3,0,15,2
1.1875,1,1,4,2
1.33333333333,5,1,20,2
1.125,5,0,8,2
0.90625,3,2,7,2
1.125,1,0,2,2
1.04166666667,2,2,7,2
1.25,2,0,6,2
1.125,2,1,19,2
0.875,1,1,7,2
0.625,0,1,3,2
1.07142857143,5,3,18,2
1.20833333333,3,0,1,2
0.916666666667,2,2,5,2
0.875,1,2,11,2
1.04166666667,4,1,9,2
1.08333333333,2,1,4,2
1.125,2,1,4,2
1.375,2,1,10,2
1.25,4,0,5,2
1.125,2,0,1,2
0.9375,4,2,9,2
1,1,0,10,2
0.84375,1,3,11,2
0.625,1,2,10,2
1.23214285714,6,2,4,2
0.5,2,2,3,2
1.28125,5,1,6,2
1.08333333333,3,1,5,2
1.21428571429,8,1,8,2
0.5625,0,2,12,2
1.04166666667,3,1,10,2
0.84375,2,3,9,2
1.15,3,2,9,2
1.75,1,0,14,2
1.1875,2,0,4,2
1.025,4,2,7,2
0.625,2,0,17,2
1.25,2,2,5,2
1.03125,3,2,11,2
0.875,0,1,3,2
1.04166666667,2,1,6,2
1,0,0,10,2
1.025,3,2,4,2
1.25,1,0,6,2
0.910714285714,4,4,11,2
1.875,2,1,18,2
0.375,0,1,8,2
1.25,1,1,1,2
1.15625,3,1,11,2
1.375,6,0,14,2
0.5,0,2,9,2
1.25,4,1,6,2
1.375,2,1,15,2
1.20833333333,3,0,6,2
1.0,3,1,8,2
1.0,3,1,3,2
1.21875,3,1,8,2
1,0,0,4,2
1.29166666667,5,1,8,2
0.541666666667,0,4,11,2
1.3125,2,2,6,2
1.0625,2,1,26,2
1,0,0,5,2
0.875,1,1,3,2
1.175,3,2,14,2
1.03125,3,2,9,2
1.03125,4,2,14,2
1.125,1,0,9,2
1.45833333333,3,0,9,2
1,0,0,15,2
1.21875,3,1,20,2
1,0,0,3,2
1.1875,3,0,12,2
0.9375,3,2,10,2
1.0,2,2,13,2
1.275,5,0,9,2
1.6875,3,0,8,2
0.625,1,4,6,2
0.875,1,4,10,2
1.20833333333,2,2,16,2
1.125,2,0,16,2
1.4375,3,0,3,2
1.125,2,0,4,2
1.375,2,0,8,2
1.4,4,0,13,2
1.15,4,3,12,2
1.29166666667,3,0,11,2
1.0,2,4,8,2
1.33333333333,3,1,13,2
0.9,1,3,11,2
0.958333333333,4,3,13,2
1.0625,2,2,8,2
1.5,1,0,2,2
1.22916666667,6,1,18,2
1.21875,3,2,10,2
0.75,0,2,1,2
1.5,2,0,9,2
0.875,0,1,2,2
0.9,3,2,8,2
1.25,4,0,8,2
1.05,6,5,18,2
1.25,2,1,7,2
1.04166666667,2,2,8,2
1.125,5,1,16,2
1.5,1,0,5,2
0.791666666667,2,2,10,2
1.125,1,1,14,2
0.895833333333,5,4,23,2
1.75,1,0,9,2
1.16666666667,3,0,7,2
1.175,5,2,16,2
1.125,1,0,4,2
1.625,5,0,7,2
1.25,4,1,13,2
1.1875,3,1,10,2
1.27083333333,5,1,2,2
0.958333333333,3,3,16,2
1.33333333333,5,0,22,2
0.5,0,1,7,2
1.2,4,2,6,2
0.979166666667,4,2,8,2
1.3125,3,2,12,2
0.25,0,2,12,2
1.46875,6,0,7,2
1.25,1,0,3,2
1.125,3,1,8,2
1.3125,2,0,11,2
0.9375,1,1,9,2
1.25,2,0,13,2
0.9375,2,1,5,2
1.16666666667,1,1,4,2
0.875,0,1,14,2
1.04166666667,1,1,2,2
1.25,1,0,4,2
1.109375,6,3,9,2
1.125,3,0,1,2
1.0,0,2,10,2
1.125,2,2,10,2
1.25,3,0,2,2
1.03125,3,1,4,2
1.225,3,1,11,2
0.5,0,2,8,2
1.0,2,1,6,2
1.16666666667,3,1,14,2
1.21875,4,1,8,2
1.1,2,2,10,2
1.25,1,0,6,2
0.875,1,3,7,2
1.21875,2,2,8,2
1.04166666667,2,1,7,2
1.875,1,0,4,2
1.08333333333,1,2,3,2
1.125,1,0,6,2
0.625,1,1,5,2
1.28125,4,3,21,2
1.41666666667,6,0,8,2
1.375,1,0,7,2
